CAD CDW ID,CAD Event Number,General Offense Number,Event Clearance Code,Event Clearance Description,Event Clearance SubGroup,Event Clearance Group,Event Clearance Date,Hundred Block Location,District/Sector,Zone/Beat,Census Tract,Longitude,Latitude,Incident Location,Initial Type Description,Initial Type Subgroup,Initial Type Group,At Scene Time
1685126,16000074747,201674747,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 11:21:37 AM,12XX BLOCK OF S CLOVERDALE ST,F,F3,11200.3003,-122.316246,47.526443,"(47.526443, -122.316246)",UNKNOWN - COMPLAINT OF UNKNOWN NATURE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 10:12:51 AM
1685093,16000074696,201674696,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 11:21:28 AM,92XX BLOCK OF RAINIER AV S,S,S3,11800.6020,-122.26999,47.520557,"(47.520557, -122.26999)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 09:39:32 AM
1685088,16000074584,201674584,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 11:15:42 AM,20 AV S / S MAIN ST,G,G2,9000.2021,-122.30636,47.599995,"(47.599995, -122.30636)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 08:19:24 AM
1685087,16000074682,201674682,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/02/2016 11:13:57 AM,84XX BLOCK OF 35 AV NE,U,U3,2400.1009,-122.2907,47.68977,"(47.68977, -122.2907)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 09:54:58 AM
1685080,16000074648,201674648,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 11:05:31 AM,13 AV / E YESLER WY,G,G1,8600.3015,-122.314926,47.60169,"(47.60169, -122.314926)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 08:53:33 AM
1685078,16000074718,201674718,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 11:02:33 AM,BOREN AV S / S JACKSON ST,G,G1,9000.2015,-122.31414,47.59921,"(47.59921, -122.31414)",HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),HAZARDS,HAZARDS,03/02/2016 09:56:26 AM
1685827,16000074499,201674499,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 10:57:17 AM,77XX BLOCK OF 15 AV NW,J,J2,3000.4000,-122.37679,47.685966,"(47.685966, -122.37679)",ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/02/2016 06:36:40 AM
1685914,16000074536,201674536,051,"BURGLARY - RESIDENTIAL, OCCUPIED",RESIDENTIAL BURGLARIES,BURGLARY,03/02/2016 10:45:20 AM,17XX BLOCK OF N NORTHLAKE WY,B,B3,5400.203,-122.336365,47.646877,"(47.646877, -122.336365)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 07:35:14 AM
1685071,16000074626,201674626,191,FELONY WARRANT SERVICE,WARRANT CALLS,ARREST,03/02/2016 10:42:44 AM,14XX BLOCK OF 3 AV,M,M3,8100.2010,-122.33734,47.609253,"(47.609253, -122.33734)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/02/2016 08:48:29 AM
1685064,16000074583,201674583,052,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,03/02/2016 10:34:50 AM,45XX BLOCK OF UNION BAY PL NE,U,U3,4200.3038,-122.29411,47.66255,"(47.66255, -122.29411)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,03/02/2016 08:12:45 AM
1685065,16000074578,201674578,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 10:31:26 AM,14XX BLOCK OF NW MARKET ST,B,B1,4700.3021,-122.3749,47.668667,"(47.668667, -122.3749)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/02/2016 08:00:24 AM
1685060,16000074525,201674525,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 10:27:29 AM,22XX BLOCK OF N 106 ST,N,N3,1200.5011,-122.33193,47.70593,"(47.70593, -122.33193)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 08:07:07 AM
1685058,16000074675,201674675,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/02/2016 10:17:27 AM,8XX BLOCK OF VIRGINIA ST,D,D2,7300.3022,-122.33617,47.616055,"(47.616055, -122.33617)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 09:13:40 AM
1685057,16000074685,201674685,041,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 10:10:10 AM,39XX BLOCK OF NE 109 ST,L,L3,800.2015,-122.28612,47.707603,"(47.707603, -122.28612)",TRU - HARASSMENT,"THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 09:21:24 AM
1685051,16000074484,201674484,040,"ASSAULTS, OTHER",ASSAULTS,ASSAULTS,03/02/2016 10:01:06 AM,8XX BLOCK OF E PIKE ST,E,E2,8400.1007,-122.32145,47.61407,"(47.61407, -122.32145)",THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),"THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 05:38:41 AM
1685045,16000074577,201674577,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 09:59:26 AM,4XX BLOCK OF 22 AV,G,G2,8700.2000,-122.30379,47.605663,"(47.605663, -122.30379)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 07:57:35 AM
1685046,16000074563,201674563,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 09:59:18 AM,10XX BLOCK OF ELLIOTT AV W,Q,Q2,7100.1004,-122.36982,47.62766,"(47.62766, -122.36982)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 07:46:07 AM
1685043,16000074668,201674668,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 09:52:49 AM,38XX BLOCK OF LAKE WASHINGTON BV S,R,R3,9500.3061,-122.27491,47.56984,"(47.56984, -122.27491)",TRU - THEFT,OTHER PROPERTY,THEFT,03/02/2016 09:07:00 AM
1685038,16000074620,201674620,031,STRONG ARM ROBBERY,ROBBERY,ROBBERY,03/02/2016 09:43:25 AM,17XX BLOCK OF AIRPORT WY S,O,O1,9300.1042,-122.32139,47.587307,"(47.587307, -122.32139)",ROBBERY - IP/JO (INCLUDES STRONG ARM),ROBBERY,ROBBERY,03/02/2016 08:34:43 AM
1685103,16000074337,201674337,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 09:42:57 AM,27XX BLOCK OF 31 AV S,R,R2,9500.4009,-122.293,47.578995,"(47.578995, -122.293)",SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,WEAPONS CALLS,GUN CALLS,03/01/2016 11:45:41 PM
1685037,16000074624,201674624,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 09:31:37 AM,S ALBRO PL / STANLEY AV S,O,O3,10900.2092,-122.31492,47.54699,"(47.54699, -122.31492)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 08:30:33 AM
1685029,16000074548,201674548,372,PROPERTY - FOUND (FOLLOW UP TO SPD CASE),"PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND",03/02/2016 09:29:32 AM,67XX BLOCK OF RAINIER AV S,S,S2,11101.1004,-122.27219,47.541584,"(47.541584, -122.27219)","WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",WEAPONS CALLS,WEAPONS CALLS,03/02/2016 07:56:46 AM
1685028,16000074585,201674585,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 09:26:24 AM,BOYLSTON AV E / E LYNN ST,D,D3,6100.4010,-122.32346,47.639725,"(47.639725, -122.32346)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 08:07:43 AM
1685030,16000074518,201674518,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 09:22:26 AM,S COLUMBIAN WY / BEACON AV S,R,R1,10001.3012,-122.30439,47.559635,"(47.559635, -122.30439)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 06:57:13 AM
1685024,16000074587,201674587,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/02/2016 09:17:53 AM,5XX BLOCK OF MERCER ST,Q,Q3,7200.1014,-122.34692,47.62456,"(47.62456, -122.34692)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 08:31:49 AM
1686497,16000074616,201674616,071,AUTO THEFT,AUTO THEFTS,AUTO THEFTS,03/02/2016 09:09:07 AM,6XX BLOCK OF NW 48 ST,B,B2,4800.4009,-122.3651,47.66365,"(47.66365, -122.3651)",AUTO THEFT - VEH THEFT OR THEFT AND RECOVERY,AUTO THEFTS,AUTO RECOVERIES,03/02/2016 08:35:28 AM
1685020,16000074503,201674503,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/02/2016 08:52:01 AM,1XX BLOCK OF MELROSE AV E,E,E1,7402.3001,-122.32785,47.619038,"(47.619038, -122.32785)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,03/02/2016 06:27:29 AM
1685008,16000074509,201674509,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 08:51:16 AM,105XX BLOCK OF AURORA AV N,N,N3,1300.2002,-122.3447,47.7058,"(47.7058, -122.3447)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 07:44:13 AM
1685143,16000074629,201674629,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 08:48:31 AM,6XX BLOCK OF 34 AV E,C,C3,6300.4024,-122.28821,47.625553,"(47.625553, -122.28821)",TRU - THEFT,OTHER PROPERTY,THEFT,03/02/2016 08:33:11 AM
1685003,16000074537,201674537,280,SUSPICIOUS PERSON,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 08:45:14 AM,41XX BLOCK OF UNIVERSITY WY NE,U,U2,5301.4001,-122.313225,47.657574,"(47.657574, -122.313225)",OVERDOSE - DRUG RELATED CASUALTY,PERSON DOWN/INJURY,CASUALTIES,03/02/2016 07:22:35 AM
1685007,16000074542,201674542,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 08:42:27 AM,47XX BLOCK OF SHILSHOLE AV NW,B,B1,4700.4013,-122.38056,47.663,"(47.663, -122.38056)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,03/02/2016 07:39:11 AM
1685004,16000074500,201674500,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 08:33:11 AM,23XX BLOCK OF NE BLAKELEY ST,U,U1,4302.2007,-122.30267,47.66536,"(47.66536, -122.30267)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 06:29:31 AM
1684993,16000074501,201674501,062,BICYCLE THEFT,THEFT,BIKE,03/02/2016 08:12:27 AM,85XX BLOCK OF DAYTON AV N,J,J1,1701.1002,-122.35261,47.691135,"(47.691135, -122.35261)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/02/2016 07:15:12 AM
1684990,16000074520,201674520,250,"MISCHIEF, NUISANCE COMPLAINTS","NUISANCE, MISCHIEF COMPLAINTS","NUISANCE, MISCHIEF",03/02/2016 08:02:56 AM,103XX BLOCK OF MERIDIAN AV N,N,N3,1200.5011,-122.333916,47.70413,"(47.70413, -122.333916)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:59:33 AM
1684991,16000074486,201674486,052,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,03/02/2016 08:02:03 AM,74XX BLOCK OF GREENWOOD AV N,J,J3,2800.2004,-122.3553,47.682922,"(47.682922, -122.3553)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,03/02/2016 05:58:03 AM
1684989,16000074523,201674523,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 08:01:58 AM,132XX BLOCK OF AURORA AV N,N,N2,401.1009,-122.34499,47.725037,"(47.725037, -122.34499)",NUISANCE - MISCHIEF,MISCELLANEOUS MISDEMEANORS,MISCELLANEOUS MISDEMEANORS,03/02/2016 07:12:25 AM
1684987,16000074483,201674483,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 07:52:41 AM,19XX BLOCK OF BIGELOW AV N,Q,Q2,6700.4015,-122.34842,47.63613,"(47.63613, -122.34842)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 06:24:57 AM
1684983,16000074519,201674519,470,PARKING VIOLATION (EXCEPT ABANDONED VEHICLES),PARKING VIOLATIONS,TRAFFIC RELATED CALLS,03/02/2016 07:45:58 AM,7XX BLOCK OF HARVARD AV E,C,C1,6500.2006,-122.32237,47.62598,"(47.62598, -122.32237)",PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC RELATED CALLS,PARKING VIOLATIONS,03/02/2016 07:00:32 AM
1684971,16000074458,201674458,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 06:55:05 AM,OLIVE WY / 7 AV,M,M2,8200.1002,-122.335175,47.613594,"(47.613594, -122.335175)",AUTO RECOVERY,AUTO THEFTS,AUTO RECOVERIES,03/02/2016 04:38:28 AM
1684965,16000074457,201674457,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/02/2016 06:45:39 AM,4XX BLOCK OF 12 AV,G,G1,8600.2020,-122.31678,47.605885,"(47.605885, -122.31678)",CRISIS - PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,BEHAVIORAL HEALTH,CRISIS CALL,03/02/2016 04:49:15 AM
1684973,16000074473,201674473,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 06:28:31 AM,28XX BLOCK OF 2 AV,D,D1,8001.1003,-122.351166,47.617302,"(47.617302, -122.351166)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,03/02/2016 05:23:50 AM
1684954,16000074471,201674471,185,"CASUALTY - DRUG RELATED (OVERDOSE, OTHER)",CASUALTIES,PERSON DOWN/INJURY,03/02/2016 06:09:16 AM,7 AV / BLANCHARD ST,D,D2,7200.1050,-122.34006,47.616592,"(47.616592, -122.34006)",OVERDOSE - DRUG RELATED CASUALTY,PERSON DOWN/INJURY,CASUALTIES,03/02/2016 05:09:28 AM
1684953,16000074445,201674445,052,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,03/02/2016 05:56:21 AM,60XX BLOCK OF PHINNEY AV N,B,B2,3500.2037,-122.35438,47.67283,"(47.67283, -122.35438)",BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY,COMMERCIAL BURGLARIES,03/02/2016 04:31:40 AM
1684946,16000074403,201674403,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 05:28:22 AM,M L KING JR WY S / S NORFOLK ST,S,S1,11700.2021,-122.278946,47.51351,"(47.51351, -122.278946)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 02:11:03 AM
1684945,16000074426,201674426,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/02/2016 05:28:03 AM,141XX BLOCK OF LINDEN AV N,N,N2,401.1007,-122.34777,47.731678,"(47.731678, -122.34777)",FIGHT - IP - PHYSICAL (NO WEAPONS),DISTURBANCES,DISTURBANCES,03/02/2016 03:43:10 AM
1684947,16000074299,201674299,191,FELONY WARRANT SERVICE,WARRANT CALLS,ARREST,03/02/2016 05:12:23 AM,STEWART ST / YALE AV N,D,D3,7300.2002,-122.330414,47.61873,"(47.61873, -122.330414)",ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),ASSAULTS,ASSAULTS,03/01/2016 10:43:18 PM
1684934,16000074419,201674419,220,CRISIS COMPLAINT - GENERAL,CRISIS CALL,BEHAVIORAL HEALTH,03/02/2016 04:03:09 AM,14XX BLOCK OF 3 AV,M,M3,8100.2010,-122.33734,47.609253,"(47.609253, -122.33734)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 03:12:56 AM
1684926,16000074349,201674349,440,MOTORIST ASSIST,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 03:57:57 AM,NB / BATTERY ST TN,D,D1,8001.2004,-122.347565,47.61421,"(47.61421, -122.347565)","MOTOR VEHICLE COLLISION, BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 12:16:15 AM
1684923,16000074398,201674398,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 03:44:10 AM,4XX BLOCK OF OLIVE WY,M,M2,8100.2001,-122.33797,47.612423,"(47.612423, -122.33797)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/02/2016 01:55:24 AM
1684921,16000074222,201674222,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/02/2016 03:32:41 AM,17XX BLOCK OF MELROSE AV,E,E1,7402.3006,-122.327866,47.617783,"(47.617783, -122.327866)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/01/2016 09:10:59 PM
1684919,16000074405,201674405,204,ALACAD - VEHICLE (FALSE),VEHICLE ALACAD (FALSE),FALSE ALACAD,03/02/2016 03:25:03 AM,34XX BLOCK OF E MADISON ST,C,C3,6300.4018,-122.28749,47.62937,"(47.62937, -122.28749)",ALARM - AUDIBLE AUTOMOBILE (UNOCC/ANTI-THEFT),ALAƒACCHRƒCAD,SUSPICIOUS CIRCUMSTANCES,03/02/2016 02:22:16 AM
1684920,16000074283,201674283,450,DRIVING WHILE UNDER INFLUENCE (DUI),TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 03:20:59 AM,NE 70 ST / 9 AV NE,U,U1,3600.1012,-122.31874,47.67948,"(47.67948, -122.31874)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/01/2016 10:21:20 PM
1684915,16000074400,201674400,161,TRESPASS,TRESPASS,TRESPASS,03/02/2016 03:17:27 AM,47XX BLOCK OF 25 AV NE,U,U1,4302.2009,-122.300896,47.6638,"(47.6638, -122.300896)","DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 02:01:42 AM
1684916,16000074301,201674301,460,TRAFFIC (MOVING) VIOLATION,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/02/2016 03:11:20 AM,11XX BLOCK OF BROADWAY,E,E2,7500.4022,-122.32076,47.61211,"(47.61211, -122.32076)",TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC RELATED CALLS,TRAFFIC RELATED CALLS,03/01/2016 10:46:19 PM
1685039,16000074348,201674348,330,"CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)",CASUALTIES,PERSON DOWN/INJURY,03/02/2016 03:03:14 AM,20XX BLOCK OF 20 AV S,R,R1,9400.3012,-122.30685,47.585014,"(47.585014, -122.30685)","DOA - CASUALTY, DEAD BODY",PERSON DOWN/INJURY,CASUALTIES,03/02/2016 12:09:37 AM
1684910,16000074373,201674373,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 02:59:05 AM,1XX BLOCK OF 13 AV E,E,E1,7500.5007,-122.31561,47.61936,"(47.61936, -122.31561)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 01:02:38 AM
1684907,16000074360,201674360,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 02:45:10 AM,95XX BLOCK OF RAINIER AV S,S,S3,11800.2000,-122.25892,47.52002,"(47.52002, -122.25892)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/02/2016 12:40:36 AM
1684903,16000074386,201674386,245,"DISTURBANCE, OTHER",DISTURBANCES,DISTURBANCES,03/02/2016 02:38:37 AM,46XX BLOCK OF STONE WY N,B,B3,5000.1036,-122.34182,47.662483,"(47.662483, -122.34182)","HARAS - NO BIAS, THREATS OR MALICIOUSNESS","THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 01:17:20 AM
1684957,16000074335,201674335,363,MISSING PERSON,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",03/02/2016 01:39:21 AM,17XX BLOCK OF CALIFORNIA AV SW,W,W1,9600.4011,-122.3863,47.587406,"(47.587406, -122.3863)",MISSING - ADULT,"PERSONS - LOST, FOUND, MISSING","PERSONS - LOST, FOUND, MISSING",03/02/2016 12:14:03 AM
1684875,16000074174,201674174,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 01:15:04 AM,15 AV NE / NE NORTHGATE WY,L,L2,1100.1008,-122.31243,47.708527,"(47.708527, -122.31243)",MOTOR VEHICLE COLLISION WITH INJURIES - PRIORITY 1,MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/01/2016 07:43:35 PM
1684876,16000074053,201674053,065,THEFT - MISCELLANEOUS,THEFT,OTHER PROPERTY,03/02/2016 01:11:45 AM,120XX BLOCK OF ROOSEVELT WY NE,L,L1,600.2002,-122.31804,47.71633,"(47.71633, -122.31804)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/01/2016 10:42:02 PM
1684868,16000074250,201674250,041,"HARASSMENT, THREATS","THREATS, HARASSMENT","THREATS, HARASSMENT",03/02/2016 12:59:58 AM,127XX BLOCK OF PALATINE AV N,N,N1,402.1004,-122.35689,47.722332,"(47.722332, -122.35689)","HARAS - NO BIAS, THREATS OR MALICIOUSNESS","THREATS, HARASSMENT","THREATS, HARASSMENT",03/01/2016 10:37:32 PM
1684869,16000074147,201674147,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 12:50:33 AM,1XX BLOCK OF TAYLOR AV N,Q,Q3,7200.1074,-122.34631,47.619152,"(47.619152, -122.34631)",BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY,RESIDENTIAL BURGLARIES,03/01/2016 07:36:23 PM
1684861,16000074117,201674117,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 12:36:26 AM,NE 130 ST / LAKE CITY WY NE,L,L3,100.5004,-122.2932,47.7229,"(47.7229, -122.2932)","MOTOR VEHICLE COLLISION, REPORT ONLY - NON INJURY/NON BLOCKING",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/01/2016 10:47:15 PM
1684859,16000074262,201674262,063,THEFT - CAR PROWL,CAR PROWL,CAR PROWL,03/02/2016 12:35:35 AM,27XX BLOCK OF NE UNIVERSITY VILLAGE ST,U,U3,4301.1014,-122.29731,47.663345,"(47.663345, -122.29731)",THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),OTHER PROPERTY,THEFT,03/01/2016 09:48:05 PM
1685611,16000074170,201674170,052,BURGLARY - COMMERCIAL,COMMERCIAL BURGLARIES,BURGLARY,03/02/2016 12:31:11 AM,28XX BLOCK OF SW BARTON ST,F,F2,11402.1022,-122.36935,47.521038,"(47.521038, -122.36935)",SHOPLIFT - THEFT,SHOPLIFTING,THEFT,03/01/2016 08:28:08 PM
1684854,16000074293,201674293,430,MOTOR VEHICLE COLLISION,TRAFFIC RELATED CALLS,MOTOR VEHICLE COLLISION INVESTIGATION,03/02/2016 12:23:23 AM,15XX BLOCK OF 6 AV S,O,O1,9300.1038,-122.32597,47.589268,"(47.589268, -122.32597)","MOTOR VEHICLE COLLISION, HIT AND RUN",MOTOR VEHICLE COLLISION INVESTIGATION,TRAFFIC RELATED CALLS,03/01/2016 10:32:21 PM
1684853,16000074314,201674314,281,SUSPICIOUS VEHICLE,SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/02/2016 12:20:37 AM,N 94 ST / STONE AV N,N,N3,1800.3000,-122.3419,47.69707,"(47.69707, -122.3419)","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUMSTANCES,03/01/2016 11:27:54 PM
1685052,16000074319,201674319,130,PROPERTY DESTRUCTION,PROPERTY DAMAGE,PROPERTY DAMAGE,03/02/2016 12:16:13 AM,23XX BLOCK OF 25 AV S,R,R2,9500.2074,-122.30035,47.58209,"(47.58209, -122.30035)",PROPERTY - DAMAGE,PROPERTY DAMAGE,PROPERTY DAMAGE,03/01/2016 11:28:35 PM
